violation_id,date,department,description,severity,status,assigned_to
CV-2026-001,2026-01-18,Finance,Premature vendor payment of $156200 to CloudStack Solutions before delivery milestones,critical,under_review,Robert Chen
CV-2026-002,2026-01-25,Sales,Nine expense reimbursement claims totaling $15420 processed without second-level approval,high,resolved,Jennifer Walsh
CV-2026-003,2026-02-28,Legal,SOC 2 Type II attestation renewal not submitted to Meridian Healthcare by contractual deadline,critical,under_review,Priya Sharma
CV-2026-004,2026-03-15,Engineering,Seven employees failed to complete mandatory annual GDPR awareness training by deadline,high,open,Emily Nakamura
CV-2026-005,2026-02-10,IT,Three employees retained production database access after role transfer beyond 48-hour revocation window,critical,resolved,James Kowalski
CV-2026-006,2026-02-22,Finance,Confidential financial projections found stored on two personal OneDrive accounts,high,resolved,Stephanie Adams
CV-2026-007,2026-01-31,Procurement,TechServ Global ISO 27001 certification expired without timely renewal verification,medium,open,Marcus Williams
CV-2026-008,2026-01-15,Operations,Five expense claims totaling $8427 processed without required approval workflow,medium,resolved,Marcus Williams
CV-2026-009,2026-03-05,IT,Unauthorized software installation detected on 4 developer workstations,medium,resolved,Thomas Bergstrom
CV-2026-010,2026-02-14,Sales,Client contract signed without legal review for deals exceeding $50000 threshold,high,under_review,Jennifer Walsh
CV-2026-011,2026-03-20,Engineering,Source code repository access granted to contractor without signed NDA on file,high,open,Rajesh Gupta
CV-2026-012,2026-01-09,HR,Employee termination checklist not completed within 5 business days for 2 departures,low,resolved,Laura Fischer
CV-2026-013,2026-03-10,Finance,Quarterly tax filing submitted 3 days past state deadline for Delaware subsidiary,medium,resolved,Robert Chen
CV-2026-014,2026-02-18,IT,VPN split tunneling detected on 6 remote employee connections,high,resolved,Aisha Patel
CV-2026-015,2026-03-28,Operations,Physical access badge not deactivated for terminated employee within 24-hour SLA,medium,open,Michael Larsson
